Date,CompanyName,Ticker,Price,TotalReturn,PriceReturn
22/09/2008,Microsoft,MSFT,25.4,0.009539,0.009539
23/09/2008,Microsoft,MSFT,25.44,0.001575,0.001575
24/09/2008,Microsoft,MSFT,25.72,0.011006,0.011006
25/09/2008,Microsoft,MSFT,26.61,0.034603,0.034603
26/09/2008,Microsoft,MSFT,27.4,0.029688,0.029688
29/09/2008,Microsoft,MSFT,25.01,-0.087226,-0.087226
30/09/2008,Microsoft,MSFT,26.69,0.067173,0.067173
01/10/2008,Microsoft,MSFT,26.48,-0.007868,-0.007868
02/10/2008,Microsoft,MSFT,26.25,-0.008686,-0.008686
03/10/2008,Microsoft,MSFT,26.32,0.002667,0.002667
06/10/2008,Microsoft,MSFT,24.91,-0.053571,-0.053571
07/10/2008,Microsoft,MSFT,23.23,-0.067443,-0.067443
08/10/2008,Microsoft,MSFT,23.01,-0.009471,-0.009471
09/10/2008,Microsoft,MSFT,22.3,-0.030856,-0.030856
10/10/2008,Microsoft,MSFT,21.5,-0.035874,-0.035874
13/10/2008,Microsoft,MSFT,25.5,0.186047,0.186047
14/10/2008,Microsoft,MSFT,24.1,-0.054902,-0.054902
15/10/2008,Microsoft,MSFT,22.66,-0.059751,-0.059751
16/10/2008,Microsoft,MSFT,24.19,0.06752,0.06752
17/10/2008,Microsoft,MSFT,23.93,-0.010748,-0.010748
20/10/2008,Microsoft,MSFT,24.72,0.033013,0.033013
21/10/2008,Microsoft,MSFT,23.36,-0.055016,-0.055016
22/10/2008,Microsoft,MSFT,21.53,-0.078339,-0.078339
23/10/2008,Microsoft,MSFT,22.32,0.036693,0.036693
24/10/2008,Microsoft,MSFT,21.96,-0.016129,-0.016129
27/10/2008,Microsoft,MSFT,21.18,-0.035519,-0.035519
28/10/2008,Microsoft,MSFT,23.1,0.090652,0.090652
29/10/2008,Microsoft,MSFT,23,-0.004329,-0.004329
30/10/2008,Microsoft,MSFT,22.63,-0.016087,-0.016087
31/10/2008,Microsoft,MSFT,22.33,-0.013257,-0.013257
03/11/2008,Microsoft,MSFT,22.62,0.012987,0.012987
04/11/2008,Microsoft,MSFT,23.53,0.04023,0.04023
05/11/2008,Microsoft,MSFT,22.08,-0.061623,-0.061623
06/11/2008,Microsoft,MSFT,20.88,-0.054348,-0.054348
07/11/2008,Microsoft,MSFT,21.5,0.029693,0.029693
10/11/2008,Microsoft,MSFT,21.3,-0.009302,-0.009302
11/11/2008,Microsoft,MSFT,21.2,-0.004695,-0.004695
12/11/2008,Microsoft,MSFT,20.3,-0.042453,-0.042453
13/11/2008,Microsoft,MSFT,21.25,0.046798,0.046798
14/11/2008,Microsoft,MSFT,20.06,-0.056,-0.056
17/11/2008,Microsoft,MSFT,19.32,-0.036889,-0.036889
18/11/2008,Microsoft,MSFT,19.62,0.022257,0.015528
19/11/2008,Microsoft,MSFT,18.29,-0.067788,-0.067788
20/11/2008,Microsoft,MSFT,17.53,-0.041553,-0.041553
21/11/2008,Microsoft,MSFT,19.68,0.122647,0.122647
24/11/2008,Microsoft,MSFT,20.69,0.051321,0.051321
25/11/2008,Microsoft,MSFT,19.99,-0.033833,-0.033833
26/11/2008,Microsoft,MSFT,20.49,0.025013,0.025013
28/11/2008,Microsoft,MSFT,20.22,-0.013177,-0.013177
01/12/2008,Microsoft,MSFT,18.61,-0.079624,-0.079624
02/12/2008,Microsoft,MSFT,19.15,0.029017,0.029017
03/12/2008,Microsoft,MSFT,19.87,0.037598,0.037598
04/12/2008,Microsoft,MSFT,19.11,-0.038249,-0.038249
05/12/2008,Microsoft,MSFT,19.87,0.03977,0.03977
08/12/2008,Microsoft,MSFT,21.01,0.057373,0.057373
09/12/2008,Microsoft,MSFT,20.6,-0.019515,-0.019515
10/12/2008,Microsoft,MSFT,20.61,0.000485,0.000485
11/12/2008,Microsoft,MSFT,19.45,-0.056283,-0.056283
12/12/2008,Microsoft,MSFT,19.36,-0.004627,-0.004627
15/12/2008,Microsoft,MSFT,19.04,-0.016529,-0.016529
16/12/2008,Microsoft,MSFT,20.11,0.056197,0.056197
17/12/2008,Microsoft,MSFT,19.66,-0.022377,-0.022377
18/12/2008,Microsoft,MSFT,19.3,-0.018311,-0.018311
19/12/2008,Microsoft,MSFT,19.12,-0.009326,-0.009326
22/12/2008,Microsoft,MSFT,19.18,0.003138,0.003138
23/12/2008,Microsoft,MSFT,19.28,0.005214,0.005214
24/12/2008,Microsoft,MSFT,19.17,-0.005705,-0.005705
26/12/2008,Microsoft,MSFT,19.13,-0.002087,-0.002087
29/12/2008,Microsoft,MSFT,18.96,-0.008887,-0.008887
30/12/2008,Microsoft,MSFT,19.34,0.020042,0.020042
31/12/2008,Microsoft,MSFT,19.44,0.005171,0.005171
02/01/2009,Microsoft,MSFT,20.33,0.045782,0.045782
05/01/2009,Microsoft,MSFT,20.52,0.009346,0.009346
06/01/2009,Microsoft,MSFT,20.76,0.011696,0.011696
07/01/2009,Microsoft,MSFT,19.51,-0.060212,-0.060212
08/01/2009,Microsoft,MSFT,20.12,0.031266,0.031266
09/01/2009,Microsoft,MSFT,19.52,-0.029821,-0.029821
12/01/2009,Microsoft,MSFT,19.47,-0.002561,-0.002561
13/01/2009,Microsoft,MSFT,19.82,0.017976,0.017976
14/01/2009,Microsoft,MSFT,19.09,-0.036831,-0.036831
15/01/2009,Microsoft,MSFT,19.24,0.007858,0.007858
16/01/2009,Microsoft,MSFT,19.71,0.024428,0.024428
20/01/2009,Microsoft,MSFT,18.48,-0.062405,-0.062405
21/01/2009,Microsoft,MSFT,19.38,0.048701,0.048701
22/01/2009,Microsoft,MSFT,17.11,-0.117131,-0.117131
23/01/2009,Microsoft,MSFT,17.2,0.00526,0.00526
26/01/2009,Microsoft,MSFT,17.63,0.025,0.025
27/01/2009,Microsoft,MSFT,17.66,0.001702,0.001702
28/01/2009,Microsoft,MSFT,18.04,0.021518,0.021518
29/01/2009,Microsoft,MSFT,17.59,-0.024945,-0.024945
